,City,Latitude,Longitude,Max Temp,Humidity,Wind Speed,Country,Cloudiness,Date
336,isangel,-9.41,-38.21,30.6,55,4.88,BR,18,1590164823
337,bushehr,51.26,-80.61,3.0,74,5.1,CA,75,1590164989
338,laguna,41.28,-70.1,18.0,68,6.7,US,1,1590164872
339,villapinzon,58.08,7.3,11.11,87,6.26,NO,100,1590164989
340,clyde river,56.34,114.88,9.2,59,1.89,RU,50,1590164989
341,deputatskiy,37.4,136.9,14.7,85,3.68,JP,95,1590164989
342,san jose de rio tinto,-7.16,113.47,26.37,83,0.9,ID,67,1590164989
343,evensk,14.9,-24.5,25.77,58,8.41,CV,2,1590164990
344,lorengau,32.08,72.67,36.48,14,1.59,PK,58,1590164990
345,hambantota,54.48,53.47,10.93,69,2.12,RU,83,1590164990
346,mount gambier,70.86,29.09,4.22,82,5.57,NO,0,1590164990
347,hofn,-41.87,-73.82,10.0,81,3.1,CL,79,1590164990
348,port blair,34.17,77.58,11.71,33,2.3,IN,100,1590164990
349,santa fe,-4.94,122.53,24.34,92,0.99,ID,100,1590164990
350,tebingtinggi,-45.58,-72.07,9.0,66,2.6,CL,75,1590164990
351,dengzhou,27.63,93.83,12.32,100,1.16,IN,90,1590164990
352,coquimbo,48.93,-125.55,11.67,81,3.1,CA,40,1590164813
353,makakilo city,26.56,54.88,32.0,52,3.1,IR,0,1590164991
354,guerrero negro,-18.37,-40.83,26.73,63,1.0,BR,69,1590164991
355,gubkinskiy,41.3,-82.98,18.33,89,0.92,US,96,1590164969
356,the valley,31.42,130.32,19.11,85,4.24,JP,97,1590164991
357,comodoro rivadavia,46.43,26.4,10.0,68,1.51,RO,100,1590164991
358,vagur,-6.77,-43.02,32.44,54,3.7,BR,31,1590164991
359,meridian,-6.72,146.98,25.27,74,2.89,PG,98,1590164991
360,geraldton,67.54,133.38,-0.9,94,2.43,RU,18,1590164991
361,paulo afonso,-35.72,150.18,15.56,57,0.89,AU,95,1590164991
362,moose factory,17.15,-25.02,28.0,58,10.3,CV,20,1590164991
363,burica,-31.33,27.85,13.09,41,3.11,ZA,0,1590164992
364,nantucket,59.12,159.97,-0.04,95,2.69,RU,100,1590164992
365,vigeland,14.16,38.9,24.09,41,2.1,ET,62,1590164992
366,taksimo,47.8,67.71,20.64,52,3.12,KZ,29,1590164992
367,wajima,57.22,21.67,12.0,66,4.1,LV,3,1590164992
368,pamekasan,-32.03,-52.1,20.0,88,3.1,BR,90,1590164853
369,sao filipe,69.49,88.4,14.0,50,6.0,RU,39,1590164992
370,sargodha,16.64,1.64,39.13,7,6.78,ML,0,1590164992
371,oktyabrskiy,5.95,116.66,26.0,94,1.5,MY,20,1590164992
372,berlevag,-13.7,-76.22,19.44,72,3.6,PE,20,1590164992
373,cumaribo,-19.58,-65.75,10.1,29,2.27,BO,100,1590164992
374,ancud,58.52,125.52,3.74,77,1.94,RU,49,1590164992
375,leh,-7.3,-38.15,30.27,50,3.04,BR,76,1590164993
376,tsihombe,-15.43,49.73,23.73,87,5.09,MG,97,1590164993
377,katobu,64.86,-147.8,12.22,50,0.74,US,75,1590164993
378,coihaique,29.13,15.95,29.52,26,5.52,LY,99,1590164993
